PKNAME,HEIGHTM,HIMAL,REGION,LON,LAT
Abi,6043,Mahalangur,Solukhumbu,86.72360992,27.98333359
Agole East,6675,Rolwaling,Solukhumbu,86.5688858,27.85472298
Aichyn,6055,Chanwathan,Humla,81.85972595,30.27083397
Ama Dablam,6814,Khumbu,Solukhumbu,86.8638916,27.86111069
Amotsang,6393,Damodar,Manang,84.17250061,28.83472252
Amphu Gyabjen,5630,Mahalangur,Solukhumbu,86.87083435,27.88111115
Amphu I,6740,Mahalangur,Solukhumbu,86.95555878,27.8702774
Amphu Middle,6202,Mahalangur,Solukhumbu,-9999,-9999
Anidesh Chuli,6808,Kanchenjunga,Taplejung,88.0708313,27.71861076
Annapurna I,8091,Annapurna,Myagdi\Kaski,83.82250214,28.59555626
Annapurna I East,8026,NA,NA,83.836944,28.612778
Annapurna I Middle,8013,NA,NA,83.827217,28.595537
Annapurna II,7937,Annapurna,Kaski\Manang,84.1241684,28.53472137
Annapurna III,7555,Annapurna,Kaski\Manang,83.9916687,28.58444405
Annapurna IV,7525,Annapurna,Kaski\Manang,84.08499908,28.53666687
Annapurna South,7219,Annapurna,Kaski\Manang,83.80805206,28.51833344
Api Main,7132,Byas-Rishi,Darchula,80.93166351,30.00527763
Api West,7076,Byas-Rishi,Darchula,80.92555237,30.00166702
Ardang,6034,,Humla,81.62333679,30.19888878
Arniko Chuli,6034,Damodar,"Dolpa\Mustang\NC",83.65944672,29.17611122
Asajya Tuppa,6265,Gorakh Himal,Humla/NC,82.27972412,30.0625
Bamongo,6406,Gaurishankar,Dolakha\NC,86.43527985,27.9086113
Baruntse,7152,Barun,"Solukhumbu\Sankhuwasabha",86.98278046,27.87138939
Baudha,6672,Mansiri,Lamjung\Gorkha,84.67888641,28.37555504
Beding Go,6125,Rolwaling,Dolakha/NC,86.39305878,27.92583275
Bhairab Takura,6799,Jugal,"Sindhupalchok\NC",85.8097229,28.1977787
Bhemdang Ri,6150,Langtang,Rasuwa,85.66777802,28.2733326
Bhrikuti,6476,Damodar,Mustang,84.14749908,28.91888809
Bhrikuti Shail,6361,Damodar,Mustang\ Manang\NC,84.22833252,28.89388847
Bhulu Lhasa,6102,Kanjiroba,Mugu,82.59944153,29.44138908
Bijora Hiunchuli,6111,Kanjiroba,Jumla,82.53083038,29.2919445
Bobaye,6808,Byas-Risi,"Darchula\Bajhang",81.02249908,29.95916748
Boktoh,6114,Kanchenjunga,Taplejung,88.00694275,27.62083244
Burke Kang,6942,Mahalangur,Solukhumbu/NC,86.77388763,28.03694534
Chabuk,6792,Kanchenjunga,Taplejung\NC,87.98750305,27.88583374
Chago,6893,Mahalangur,Sankhuwasabha\ NC,87.05638885,27.92611122
Chako,6704,Peri Himal,Manang\NC,84.28861237,28.88055611
Chamar,7161,Shringi,Gorkha,84.95055389,28.5466671
Chamar Kang,6060,Shringi,Gorkha,-9999,-9999
Chamar North,7165,Sringi,Gorkha,84.94694519,28.55527687
Chamlang,7321,Mahalangur,"Solukhumbu\Sankhuwasabha",86.98222351,27.77527809
Chandi Himal,6142,Chandi Himal,Humla\NC,81.9513855,30.3591671
Changdi,6623,Palchung,Mugu/NC,82.7986145,29.7191658
Changla,6563,Changla,Humla\NC,82.12889099,30.30305481
Changtse,7543,NA,NA,85.55361111,28.27111111
Changwathang,6130,Chandi Himal,Humla,81.88833618,30.32638931
Chaw Peak,6404,Kanchanjunga,Taplejung\NC,87.94416809,27.90972137
Chekigo,6121,Gaurishankar,Dolakha\NC,86.41361237,27.90638924
Cheo Himal,6820,Peri,Manang\NC,84.45417023,28.76472282
Chhiv Himal,6650,Damodar,Mustang\Manang,84.16222382,28.87333298
Chhochenphu Himal,6260,Kanchanjunga,Taplejung,87.76444244,27.83194351
Chhopa Bamare,6109,Rolwaling,Dolakha/NC,86.09194183,28.05722237
