SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

REDE:,Meteorológica

CÓDIGO,NOME,ALTITUDE (M),LATITUDE (ºN),LONGITUDE (ºW),COORD_X (M),COORD_Y (M),ALTITUDE (M),BACIA,DISTRITO,CONCELHO,FREGUESIA,ENTIDADE RESPONSÁVEL (AUTOMÁTICA),ENTIDADE RESPONSÁVEL (CONVENCIONAL),TIPO ESTAÇÃO (AUTOMÁTICA),TIPO ESTAÇÃO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (CONVENCIONAL),ENCERRAMENTO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (AUTOMÁTICA),ENCERRAMENTO (AUTOMÁTICA),TELEMETRIA,ESTADO,ÍNDICE QUALIDADE*
17H/01C,ABRANTES,105,39.454,-8.102,202682,276218,105,TEJO,SANTARÉM,ABRANTES,CONCAVADA,Autoridade Nacional da Água,CCDR-LVT,CLIMATOLÓGICA,CLIMATOLÓGICA,01-11-1931,-,01-02-2001,-,SIM,ATIVA,15,
30E/03F,ALBUFEIRA DA BRAVURA,75,37.204,-8.7,149671,26586,75,RIBEIRAS DO ALGARVE,FARO,LAGOS,BENSAFRIM,Autoridade Nacional da Água,-,CLIMATOLÓGICA FLUTUANTE,-,-,-,04-04-2001,-,SIM,ATIVA,-,
24L/02F,ALBUFEIRA DO ALQUEVA,79,38.22317,-7.45971,258965,139786,79,GUADIANA,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),Autoridade Nacional da Água,-,CLIMATOLÓGICA FLUTUANTE,-,-,-,19-07-2002,-,SIM,ATIVA,-,
22M/05F,ALBUFEIRA DO ALQUEVA (MOURÃO),103,38.39636,-7.38717,265163,159060,103,GUADIANA,ÉVORA,ALANDROAL,SANTIAGO MAIOR,Autoridade Nacional da Água,-,CLIMATOLÓGICA FLUTUANTE,-,-,-,26-09-2002,-,SIM,ATIVA,-,
24J/02F,ALBUFEIRA DO ALVITO,195,38.282,-7.913,219249,146172,195,SADO,BEJA,CUBA,VILA RUIVA,Autoridade Nacional da Água,-,CLIMATOLÓGICA FLUTUANTE,-,-,-,29-03-2001,-,SIM,ATIVA,-,
19O/02F,ALBUFEIRA DO CAIA,221,39.006,-7.148,285323,226895,221,GUADIANA,PORTALEGRE,CAMPO MAIOR,SÃO JOÃO BAPTISTA,Autoridade Nacional da Água,-,CLIMATOLÓGICA FLUTUANTE,-,-,-,22-03-2001,-,SIM,ATIVA,-,
19J/04F,ALBUFEIRA DO MARANHÃO,136,39.014,-7.973,213827,227340,136,TEJO,PORTALEGRE,AVIS,MARANHÃO,Autoridade Nacional da Água,-,CLIMATOLÓGICA FLUTUANTE,-,-,-,01-04-2001,-,SIM,ATIVA,-,
26I/02F,ALBUFEIRA DO ROXO,135,37.928975,-8.079641,204698,106919,135,SADO,BEJA,ALJUSTREL,ERVIDEL,Autoridade Nacional da Água,-,CLIMATOLÓGICA FLUTUANTE,-,-,-,01-04-2001,-,SIM,ATIVA,-,
23I/01C,ALCÁÇOVAS,218,38.390412,-8.151349,198404.29,158137.554,218,SADO,ÉVORA,VIANA DO ALENTEJO,ALCÁÇOVAS,Autoridade Nacional da Água,CCDR-ALENTEJO,CLIMATOLÓGICA,CLIMATOLÓGICA,14-11-1931,-,09-03-2001,-,SIM,ATIVA,12,
04F/01C,BARCELOS,36,41.526,-8.624,159004,506433,36,CÁVADO/RIBEIRAS COSTEIRAS,BRAGA,BARCELOS,BARCELINHOS,Autoridade Nacional da Água,CCDR-NORTE,CLIMATOLÓGICA,CLIMATOLÓGICA,01-01-1932,-,27-02-2003,-,SIM,ATIVA,15,
08G/01C,BARRAGEM DE CASTELO BURGÃES,306,40.853,-8.379,179250,431546,306,VOUGA/RIBEIRAS COSTEIRAS,AVEIRO,VALE DE CAMBRA,MACIEIRA DE CAMBRA,Autoridade Nacional da Água,CCDR-NORTE,CLIMATOLÓGICA,CLIMATOLÓGICA,01-01-1938,-,06-12-1999,-,SIM,ATIVA,14,
20E/01C,BARRAGEM DE MAGOS,43,38.99,-8.694,151370,224830,43,TEJO,SANTARÉM,SALVATERRA DE MAGOS,FOROS DE SALVATERRA,Autoridade Nacional da Água,CCDR-LVT,CLIMATOLÓGICA,CLIMATOLÓGICA,01-10-1937,-,31-01-2001,-,SIM,ATIVA,15,
16C/01C,CELA,2,39.573,-9.068,119669,289808,2,RIBEIRAS DO OESTE,LEIRIA,NAZARÉ,FAMALICÃO,Autoridade Nacional da Água,CCDR-LVT,CLIMATOLÓGICA,CLIMATOLÓGICA,01-10-1937,-,29-11-2001,-,SIM,ATIVA,15,
