SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

REDE:,Meteorológica

CÓDIGO,NOME,ALTITUDE (M),LATITUDE (ºN),LONGITUDE (ºW),COORD_X (M),COORD_Y (M),ALTITUDE (M),BACIA,DISTRITO,CONCELHO,FREGUESIA,ENTIDADE RESPONSÁVEL (AUTOMÁTICA),ENTIDADE RESPONSÁVEL (CONVENCIONAL),TIPO ESTAÇÃO (AUTOMÁTICA),TIPO ESTAÇÃO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (CONVENCIONAL),ENCERRAMENTO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (AUTOMÁTICA),ENCERRAMENTO (AUTOMÁTICA),TELEMETRIA,ESTADO,ÍNDICE QUALIDADE*
17H/01C,ABRANTES,105,39.454,-8.102,202682,276218,105,TEJO,SANTARÉM,ABRANTES,CONCAVADA,Autoridade Nacional da Água,CCDR-LVT,CLIMATOLÓGICA,CLIMATOLÓGICA,01-11-1931,-,01-02-2001,-,SIM,ATIVA,15,
21M/02UG,ALANDROAL,302,38.693,-7.404,263420.797,191939.393,302,GUADIANA,ÉVORA,ALANDROAL,ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO),Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOMÉTRICA,07-09-1931,-,14-02-2001,-,SIM,ATIVA,15,
09G/01UG,ALBERGARIA-A-VELHA,131,40.698,-8.482,170492.293,414455.277,131,VOUGA/RIBEIRAS COSTEIRAS,AVEIRO,ALBERGARIA-A-VELHA,ALBERGARIA-A-VELHA,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,01-10-1930,-,01-11-2001,-,SIM,ATIVA,13,
26I/02F,ALBUFEIRA DO ROXO,135,37.928975,-8.079641,204698,106919,135,SADO,BEJA,ALJUSTREL,ERVIDEL,Autoridade Nacional da Água,-,CLIMATOLÓGICA FLUTUANTE,-,-,-,01-04-2001,-,SIM,ATIVA,-,
23I/01C,ALCÁÇOVAS,218,38.390412,-8.151349,198404.29,158137.554,218,SADO,ÉVORA,VIANA DO ALENTEJO,ALCÁÇOVAS,Autoridade Nacional da Água,CCDR-ALENTEJO,CLIMATOLÓGICA,CLIMATOLÓGICA,14-11-1931,-,09-03-2001,-,SIM,ATIVA,12,
10O/02UG,ALMEIDINHA,871,40.594,-7.129,284961.619,403252.385,871,DOURO,GUARDA,GUARDA,JARMELO (SÃO PEDRO),Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,26-09-1959,-,31-10-2003,-,SIM,ATIVA,14,
15G/01UG,ALVAIÁZERE,335,39.827,-8.381,178815.914,317665.131,335,TEJO,LEIRIA,ALVAIÁZERE,ALVAIÁZERE,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,01-11-1931,-,12-10-2001,-,SIM,ATIVA,15,
04R/01UG,ARGOZELO,685,41.638,-6.601,327693.243,519867.231,685,DOURO,BRAGANÇA,VIMIOSO,ARGOZELO,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOMÉTRICA,01-01-1932,-,26-02-2003,-,SIM,ATIVA,14,
20C/03G,ARRANHÓ,204,38.952,-9.137,112953,220951,204,TEJO,LISBOA,ARRUDA DOS VINHOS,ARRANHÓ,Autoridade Nacional da Água,CCDR-LVT,UDOGRÁFICA,UDOGRÁFICA,01-10-1979,-,11-08-2004,-,SIM,ATIVA,-,
21K/01UG,AZARUJA,270,38.702644,-7.774686,231177.098,192858.08,270,GUADIANA,ÉVORA,ÉVORA,SÃO BENTO DO MATO,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOMÉTRICA,01-09-1931,-,09-01-2001,-,SIM,ATIVA,12,
